Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-07-29,2800.0,2662.0,2699.15,2699.0,2698.9,2699.4,23981.38000221
2017-07-28,2820.0,2651.0,2787.45,2787.5,2787.4,2787.5,41395.61221531
2017-07-27,2679.7,2503.20841641,2679.65,2679.5,2679.6,2679.7,31654.75087282
2017-07-26,2612.0,2404.0,2511.05,2511.0,2511.0,2511.1,32960.76679518
2017-07-25,2790.1,2417.0,2541.95,2542.1,2541.9,2542.0,55775.63808597
2017-07-24,2812.0,2707.1,2772.15,2772.5,2771.7,2772.6,21145.71222318
2017-07-23,2877.5,2655.0,2729.85,2727.8,2729.3,2730.4,35204.68390574
2017-07-22,2917.0,2642.8,2836.35,2836.0,2836.0,2836.7,35645.03203075
2017-07-21,2922.0,2615.0,2697.8,2698.0,2697.6,2698.0,66653.29486544
2017-07-20,2847.0,2226.3,2841.95,2844.9,2838.0,2845.9,74227.68613459
2017-07-19,2400.0,2213.9,2253.25,2253.3,2253.2,2253.3,35999.47719933
2017-07-18,2380.2,2139.0,2293.15,2295.2,2291.6,2294.7,45484.66172852
2017-07-17,2196.0,1903.6,2194.95,2194.9,2194.9,2195.0,39390.34285014
2017-07-16,2051.1,1826.2,1949.35,1950.0,1949.2,1949.5,53266.4029935
2017-07-15,2218.9,1975.7,2034.95,2034.9,2034.9,2035.0,40552.0852412
2017-07-14,2345.6,2138.0,2202.05,2203.0,2201.1,2203.0,27458.42173356
2017-07-13,2400.0,2293.1,2335.4,2335.7,2335.1,2335.7,18638.31658398
2017-07-12,2397.0,2190.0,2364.9,2364.1,2364.1,2365.7,22238.87665626
2017-07-11,2375.0,2182.0,2315.65,2315.6,2315.6,2315.7,36479.92579668
2017-07-10,2499.9,2300.2,2312.35,2311.4,2310.8,2313.9,24351.85459663
2017-07-09,2555.7,2491.0,2496.95,2496.9,2496.9,2497.0,7242.9093659
2017-07-08,2542.6,2436.1,2541.85,2541.4,2541.8,2541.9,10785.00978106
2017-07-07,2601.5,2447.0,2454.05,2453.8,2453.8,2454.3,16598.09590207
2017-07-06,2607.1,2546.0,2599.05,2597.5,2599.0,2599.1,10008.20103325
2017-07-05,2619.0,2477.9,2601.15,2601.2,2601.1,2601.2,13858.39202968
2017-07-04,2628.6,2511.0,2560.55,2560.9,2560.3,2560.8,15491.33521549
2017-07-03,2587.4,2416.2,2550.75,2550.5,2550.5,2551.0,16459.28579338
2017-07-02,2462.8,2302.0,2437.15,2437.2,2437.1,2437.2,11942.13818395
2017-07-01,2441.0,2291.0,2330.6,2330.0,2330.2,2331.0,15483.27033096
2017-06-30,2511.1,2425.7,2425.95,2426.0,2425.7,2426.2,9951.05435536
2017-06-29,2537.8,2424.0,2492.6,2490.3,2490.5,2494.7,12903.73040551
2017-06-28,2566.8,2403.2,2512.4,2511.7,2511.7,2513.1,23085.32347093
2017-06-27,2500.0,2207.8,2496.7,2495.6,2495.6,2497.8,34606.33289825
2017-06-26,2510.4,2258.7,2397.45,2397.5,2397.4,2397.5,33998.132991
2017-06-25,2595.0,2368.3,2464.95,2462.2,2462.8,2467.1,18250.09762145
2017-06-24,2700.0,2452.86920686,2485.0,2485.2,2484.8,2485.2,16835.50146709
2017-06-23,2726.0,2652.0,2692.25,2692.1,2692.2,2692.3,7851.20454748
2017-06-22,2709.0,2554.8,2675.2,2675.0,2675.0,2675.4,15484.26223235
2017-06-21,2760.0,2572.3,2600.35,2601.1,2600.0,2600.7,24543.23929945
2017-06-20,2780.0,2565.7,2746.7,2747.3,2746.1,2747.3,20269.37169074
2017-06-19,2593.9,2472.8,2566.8,2568.0,2565.9,2567.7,13522.69276237
2017-06-18,2640.0,2420.0,2479.4,2479.1,2479.0,2479.8,20567.79053665
2017-06-17,2635.0,2368.1,2629.95,2630.0,2629.9,2630.0,16108.85988172
2017-06-16,2487.0,2257.8,2423.75,2423.7,2423.7,2423.8,24032.48945506
2017-06-15,2455.0,2046.0,2382.6,2385.2,2380.2,2385.0,55325.68685312
2017-06-14,2722.42278245,2280.0,2372.0,2374.2,2369.5,2374.5,33787.33441609
2017-06-13,2730.0,2528.1,2680.95,2681.0,2680.9,2681.0,24145.39327905
2017-06-12,2962.2,2284.4,2543.7,2543.8,2543.6,2543.8,47251.44470817
2017-06-11,3003.0,2791.0,2934.85,2936.6,2932.6,2937.1,19846.74807496
2017-06-10,2890.5,2711.1,2813.55,2814.3,2812.9,2814.2,15375.42670813
2017-06-09,2849.8,2763.9,2808.55,2808.6,2808.5,2808.6,9590.57211758
2017-06-08,2780.0,2527.0,2776.15,2775.6,2775.4,2776.9,17385.43907228
2017-06-07,2850.0,2600.1,2674.6,2674.8,2673.3,2675.9,21612.6935227
2017-06-06,2899.7,2596.7,2829.1,2828.7,2828.7,2829.5,42863.47285584
2017-06-05,2649.5,2472.3,2618.25,2618.91043963,2617.5,2619.0,15069.17422723
2017-06-04,2498.0,2365.0,2474.15,2476.2,2472.2,2476.1,11862.21293963
2017-06-03,2481.2,2347.6,2476.75,2477.2,2476.4,2477.1,11912.73748724
2017-06-02,2390.0,2262.8,2389.95,2390.0,2389.9,2390.0,11467.50447164
2017-06-01,2368.2,2180.02876146,2287.85,2287.8,2287.8,2287.9,19095.14572728
2017-05-31,2241.0,2000.0,2195.55,2195.6,2195.5,2195.6,22698.13105643
2017-05-30,2265.0,2080.1,2105.6,2106.0,2105.2,2106.0,20354.07680653
2017-05-29,2249.8,1990.0,2190.65,2193.4,2190.0,2191.3,16150.8134196
2017-05-28,2194.4,1917.5,2030.85,2033.0,2030.5,2031.2,26069.90020527
2017-05-27,2210.8,1810.0,1948.55,1949.9,1943.0,1954.1,47573.80228639
2017-05-26,2477.0,2007.0,2110.25,2113.2,2108.3,2112.2,45454.1782232
2017-05-25,2690.0,2250.2,2376.5,2377.0,2376.0,2377.0,49595.7110208
2017-05-24,2444.9,2225.1,2378.55,2379.6,2377.4,2379.7,28763.23656998
2017-05-23,2264.2,1978.0,2227.8,2228.0,2227.7,2227.9,25237.76081342
2017-05-22,2222.2,1981.8,1981.85,1981.9,1981.8,1981.9,54979.75310354
2017-05-21,2099.1,2000.1,2039.6,2037.9,2038.3,2040.9,17131.75095758
2017-05-20,2069.0,1960.1,2067.85,2068.0,2067.7,2068.0,21219.21014859
2017-05-19,2000.0,1924.9,1969.65,1970.0,1969.4,1969.9,23920.61666184
2017-05-18,1948.0,1861.0,1944.95,1946.1,1943.9,1946.0,11723.37564472
2017-05-17,1894.0,1766.3,1874.95,1874.9,1874.9,1875.0,15944.83830748
2017-05-16,1795.1,1728.0,1781.65,1781.7,1781.6,1781.7,9777.05053279
2017-05-15,1830.4,1719.0,1780.95,1781.8,1780.9,1781.0,15829.09402139
