Week,bitcoin
2014-04-20,14
2014-04-27,14
2014-05-04,13
2014-05-11,12
2014-05-18,13
2014-05-25,15
2014-06-01,14
2014-06-08,14
2014-06-15,13
2014-06-22,11
2014-06-29,12
2014-07-06,12
2014-07-13,13
2014-07-20,12
2014-07-27,12
2014-08-03,12
2014-08-10,14
2014-08-17,13
2014-08-24,11
2014-08-31,13
2014-09-07,14
2014-09-14,12
2014-09-21,13
2014-09-28,12
2014-10-05,15
2014-10-12,12
2014-10-19,11
2014-10-26,11
2014-11-02,11
2014-11-09,13
2014-11-16,12
2014-11-23,10
2014-11-30,11
2014-12-07,12
2014-12-14,12
2014-12-21,13
2014-12-28,11
2015-01-04,13
2015-01-11,15
2015-01-18,12
2015-01-25,13
2015-02-01,12
2015-02-08,12
2015-02-15,13
2015-02-22,11
2015-03-01,12
2015-03-08,12
2015-03-15,11
2015-03-22,11
2015-03-29,11
2015-04-05,10
2015-04-12,10
2015-04-19,10
2015-04-26,10
2015-05-03,9
2015-05-10,10
2015-05-17,10
2015-05-24,10
2015-05-31,10
2015-06-07,9
2015-06-14,12
2015-06-21,10
2015-06-28,12
2015-07-05,13
2015-07-12,12
2015-07-19,11
2015-07-26,12
2015-08-02,11
2015-08-09,10
2015-08-16,12
2015-08-23,12
2015-08-30,10
2015-09-06,10
2015-09-13,10
2015-09-20,10
2015-09-27,10
2015-10-04,10
2015-10-11,10
2015-10-18,11
2015-10-25,13
2015-11-01,21
2015-11-08,15
2015-11-15,13
2015-11-22,12
2015-11-29,12
2015-12-06,19
2015-12-13,15
2015-12-20,14
2015-12-27,13
2016-01-03,14
2016-01-10,15
2016-01-17,15
2016-01-24,13
2016-01-31,12
2016-02-07,12
2016-02-14,14
2016-02-21,13
2016-02-28,13
2016-03-06,12
2016-03-13,12
2016-03-20,12
2016-03-27,12
2016-04-03,12
2016-04-10,12
2016-04-17,12
2016-04-24,14
2016-05-01,20
2016-05-08,14
2016-05-15,13
2016-05-22,13
2016-05-29,17
2016-06-05,16
2016-06-12,23
2016-06-19,23
2016-06-26,18
2016-07-03,18
2016-07-10,15
2016-07-17,13
2016-07-24,13
2016-07-31,18
2016-08-07,14
2016-08-14,13
2016-08-21,13
2016-08-28,13
2016-09-04,14
2016-09-11,13
2016-09-18,13
2016-09-25,13
2016-10-02,13
2016-10-09,14
2016-10-16,13
2016-10-23,16
2016-10-30,17
2016-11-06,17
2016-11-13,17
2016-11-20,17
2016-11-27,17
2016-12-04,17
2016-12-11,17
2016-12-18,22
2016-12-25,24
2017-01-01,38
2017-01-08,29
2017-01-15,23
2017-01-22,21
2017-01-29,22
2017-02-05,24
2017-02-12,22
2017-02-19,26
2017-02-26,31
2017-03-05,35
2017-03-12,30
2017-03-19,29
2017-03-26,25
2017-04-02,25
2017-04-09,25
2017-04-16,24
2017-04-23,27
2017-04-30,37
2017-05-07,51
2017-05-14,60
2017-05-21,100
2017-05-28,66
2017-06-04,65
2017-06-11,70
2017-06-18,58
2017-06-25,58
2017-07-02,48
2017-07-09,54
2017-07-16,63
2017-07-23,58
