Juicy,"Fuck all you hoes
Get a grip motherfucker.
Yeah, this album is dedicated to all the teachers that told me
I'd never amount to nothin', to all the people that lived above the
buildings that I was hustlin' in front of that called the police on
me when I was just tryin' to make some money to feed my daughter,
and all the niggas in the struggle, you know what I'm sayin'?
Uh-ha, it's all good baby bay-bee, uh
It was all a dream
I used to read Word Up magazine
Salt'n'Pepa and Heavy D up in the limousine
Hangin' pictures on my wall
Every Saturday Rap Attack, Mr. Magic, Marley Marl
I let my tape rock 'til my tape pop
Smokin' weed and bamboo, sippin' on private stock
Way back, when I had the red and black lumberjack
With the hat to match
Remember Rappin' Duke, duh-ha, duh-ha
You never thought that hip hop would take it this far
Now I'm in the limelight 'cause I rhyme tight
Time to get paid, blow up like the World Trade
Born sinner, the opposite of a winner
Remember when I used to eat sardines for dinner
Peace to Ron G, Brucey B, Kid Capri
Funkmaster Flex, Lovebug Starsky
I'm blowin' up like you thought I would
Call the crib, same number same hood
It's all good
Uh, and if you don't know, now you know, nigga, uh
You know very well who you are
Don't let em hold you down, reach for the stars
You had a goal, but not that many
'cause you're the only one I'll give you good and plenty
I made the change from a common thief
To up close and personal with Robin Leach
And I'm far from cheap, I smoke skunk with my peeps all day
Spread love, it's the Brooklyn way
The Moet and Alize keep me pissy
Girls used to diss me
Now they write letters 'cause they miss me
I never thought it could happen, this rappin' stuff
I was too used to packin' gats and stuff
Now honies play me close like butter played toast
From the Mississippi down to the east coast
Condos in Queens, indo for weeks
Sold out seats to hear Biggie Smalls speak
Livin' life without fear
Puttin' 5 karats in my baby girl's ear
Lunches, brunches, interviews by the pool
Considered a fool 'cause I dropped out of high school
Stereotypes of a black male misunderstood
And it's still all good
Uh...and if you don't know, now you know, nigga
You know very well who you are
Don't let em hold you down, reach for the stars
You had a goal, but not that many
'cause you're the only one I'll give you good and plenty
Super Nintendo, Sega Genesis
When I was dead broke, man I couldn't picture this
50 inch screen, money green leather sofa
Got two rides, a limousine with a chauffeur
Phone bill about two G's flat
No need to worry, my accountant handles that
And my whole crew is loungin'
Celebratin' every day, no more public housin'
Thinkin' back on my one-room shack
Now my mom pimps a Ac' with minks on her back
And she loves to show me off, of course
Smiles every time my face is up in The Source
We used to fuss when the landlord dissed us
No heat, wonder why Christmas missed us
Birthdays was the worst days
Now we sip champagne when we thirst-ay
Uh, damn right I like the life I live
'Cause I went from negative to positive
And it's all...
It's all good
...and if you don't know, now you know, nigga, uh
Uh, uh...and if you don't know, now you know, nigga
Uh...and if you don't know, now you know, nigga, uh
Representin' B-Town in the house, Junior Mafia, mad flavor, uh
Uh, yeah, a-ight"
Ready To Die,"As I grab the glock, put it to your headpiece
One in the chamber, the safety is off release
Straight at your dome homes, I wanna see cabbage
Biggie Smalls the savage, doin your brain cells much damage
Teflon is the material for the imperial
mic ripper girl stripper the Henny sipper
I drop lyrics off and on like a lightswitch
Quick to grab the right bitch and make her drive
the Q-45, glocks and tecs are expected when I wreck shit
Respect is collected, so check it
I got techniques drippin out my buttcheeks
Sleep on my stomach so I don't fuck up my sheets, huh
My shit is deep, deeper than my grave G
I'm ready to die and nobody can save me
Fuck the world, fuck my moms and my girl
My life is played out like a jheri curl, I'm ready to die
As I sit back and look when I used to be a crook
Doin whatever it took from snatchin chains to pocketbooks
A big BAD motherfucker on the wrong road
I got some drugs tried to get the avenue sold
I want it all from the Rolexes
to the Lexus gettin paid, is all I expected
My mother didn't give me what I want, what the fuck?
Now I got a glock, makin motherfuckers duck
Shit is real, and hungry's how I feel
I rob and steal because that money got that whip appeal
Kickin niggaz down the steps just for rep
Any repercussion lead to niggaz gettin wet
The infrared's at your head real steady
You better grab your guns cause I'm ready, ready
I'm ready to die!
In a sec I throw the tec to your fuckin neck
Everybody hit the deck, Biggie bout to get some wreck
Quick to leave you in a coffin, for slick talkin
You better act like CeCe, and keep on walkin
When I hit ya, I split ya to the white meat
You swung on like you slumber right you fell to the conrete
Your face, my feet, they meet, we're stompin
I'm rippin MC's from Tallahassee, to Compton
Biggie Smalls on a higher plane
Niggaz say I'm strange deranged because I put the 12 gauge to your brain
Make your shit splatter
Mix the blood like batter then my pocket gets fatter
after the hit, leave you on the street with your neck split
down your backbone to where your motherfuckin cheek drip
The shit I kick, rip it through the vest
Biggie Smalls passin any test, I'm ready to die!
I'm ready
(Time to go, we gonna put you out your misery motherfucker)
Niggaz definitely know what time it is
The Notorious one in full effect
for ninety-three!
Suicidal, I'm ready!"
Everyday Struggle,"I don't wanna live no mo'
Sometimes I hear death knocking at my front do'
I'm living everyday like a hustle
Another drug to juggle, another day another struggle
I know how it feels to wake up fucked up
Pockets broke as hell, another rock to sell
People look at you like you're the user
Selling drugs to all the losers mad Buddha abuser
But they don't know about the stress-filled day
Baby on the way mad bills to pay
That's why you drink Tanqueray
So you can reminisce and wish
You wasn't living so devilish s-shit
I remember I was just like you
Smoking blunts with my crew
Flipping oldies 62's
'Cause G-E-D was it B-I-G, I got P-A-I-D
That's why my mom hates me
She was forced to kick me out, no doubt
Then I figured out Nick's went for twenty down south
Packed up my tools for my raw power move
Glock nineteen for casket and flower moves
Four drunks trying to stop my flow
And what they don't know will show on the autopsy
Went to see papi, to cop me a brick
Asked for some consignment and he wasn't trying to hear it
Smoking mad Newports 'cause I'm doing court for an assault
That I caught in Bridge Port, New York
Catch me if you can like the ginger bread man
You better have your gat in hand
'Cause man
I don't wanna live no mo'
Sometimes I hear death knocking in my front do'
I'm living everyday like a hustle
Another drug to juggle, another day another struggle
I had the master plan
I'm in the caravan on my way to Maryland
With my man Tutex to take over this projects
They call him Tutex, he tote two techs
And when he starts to bust
He likes to ask who's next?
I got my honies on the Amtrack
With the crack in the crack of her ass
Two pounds of hash in the stash
I wait for hun to make some quick cash
I told her she could be lieutenant bitch got gassed
At last I'm literally lounging Black,
Seating back counting double digit thousands stacks
Had to re-up see what's up with my peeps
Toyota dealer cars had it cheap on the jeeps
See who got smoked, what rumors was spread
Last I heard I was dead with six to the head
Then I got the phone call
It couldn't hit me harder
We got infiltrated
Like Nino at the Carter
I heard Tec got murdered in a town I've never heard of
By some bitch named Alberta over nickel-plated burners
And my bitch swear to God she won't snitch
I told her where she hit the bricks I'll make the hooker rich
Conspiracy should be home in three
Until them I look south for the home family
A true G, that's me blowing like a bubble
In the everyday struggle
I don't wanna live no mo'
Sometimes I hear death knocking in my front do'
I'm living everyday like a hustle
Another drug to juggle, another day another struggle
I'm seeing body after body and our mayor Giuliani
Ain't trying to see no black man turn into John Gotti
My daughter use a potty so she's older now
Educated street knowledge I'm gonna mold 'er now
Trick 'er little dope buying young girls tringes
Dealing with the dope fiend binges
Seeing syringes in the veins
Hard to explain how I maintain
The crack smoke makes my brain feel so strange
Breaking days on the set no sweat from cold moet
Can't bag yet because's still wet
But when I dry back in five at a time
I can clock about nine on the check cashing line
I had to burst on the third
Rehearse that's my word
Thinking the game Ds knew my first name
Should I quit? Shit no!
Even though they had me scared
Yo they gotta eight I gotta teck with air holes
That's just how the shit goes in the struggle mother fucker
I don't wanna live no mo'
Sometimes I hear death knocking in my front do'
I'm living everyday like a hustle
Another drug to juggle, another day another struggle"
Big Poppa,"To all the ladies in the place with style and grace
Allow me to lace these lyrical douches in your bushes
Who rock grooves and make moves with all the mommies?
The back of the club, sipping Moët, is where you'll find me
The back of the club, mackin hoes, my crew's behind me
Mad question asking, blunt passing, music blasting
But I just can't quit
Because one of these honies Biggie got to creep with
Sleep with, keep the EP a secret. Why not?
Why blow up my spot 'cause we both got hot
Now check it, I got more Mack than Craig and in the bed
Believe me, sweety, I got enough to feed the needy
No need to be greedy. I got mad friends with Benzs
C-notes by the layers, true fucking players
Jump in the Rover and come over
Tell your friends jump in the GS3,
I got the chronic by the tree
I love it when you call me Big Poppa
Throw your hands in the air, if you's a true player
I love it when you call me Big Poppa
To the honies getting money playing niggaz like dummies
I love it when you call me Big Poppa
If you got a gun up in your waist, please don't shoot up the place! Why?
'Cause I see some ladies tonight that should be having my baby
Straight up, honey. Really, I'm asking
Most of these niggaz think they be mackin but they be acting
Who they attracting with that line, ""What's your name, what's your sign""?
Soon as he buy that wine I just creep up from behind
And ask what your interests are, who you be with,
Things to make you smile, what numbers to dial.
You gon' be here for a while, I'm gon' go call my crew
You go call your crew
We can rendezvous at the bar around two
Plans to leave, throw the keys to Lil Cease
Pull the truck up, front, and roll up the next blunt
So we can steam on the way to the telly go fill my belly
A t-bone steak, cheese eggs and Welch's grape
Conversate for a few, 'cause in a few, we gon' do
What we came to do, ain't that right, boo. True
Forget the telly, we just go to the crib
And watch a movie in the Jacuzzi, smoke Ls while you do me
I love it when you call me Big Poppa
Throw your hands in the air, if you's a true player
I love it when you call me Big Poppa
To the honies getting money playing niggaz like dummies
I love it when you call me Big Poppa
If you got a gun up in your waist, please don't shoot up the place! Why?
'Cause I see some ladies tonight that should be having my baby
How ya living Biggie Smallz?
In mansion and Benzs
Giving ends to my friends and it feels stupendous
Tremendous cream, fuck a dollar and a dream
Still tote gats strapped with infrared beams. What?
Chopping Os, smoking lye and Optimos
Money hoes and clothes all a nigga knows
A foolish pleasure, whatever
I had to find the buried treasure, so grams I had to measure
However living better now, Gucci sweater now
Drop top BMs I'm the man girlfriend
Honey, check it, check it
Tell your friends, to get with my friends, your friends
And we can be friends
Shit, we can do this every weekend. That's right
Aight? Is that aight with you?
Yeah... keep banging
I love it when you call me Big Poppa
Throw your hands in the air, if you's a true player
I love it when you call me Big Poppa
To the honies getting money playing niggaz like dummies
I love it when you call me Big Poppa
If you got a gun up in your waist, please don't shoot up the place! Why?
'Cause I see some ladies tonight that should be having my baby"
Respect,"Nineteen-seventy somethin', nigga I don't sweat the date
My moms is late so I had to plan my escape
out the skins, in this world of fly girls
Tanqueray and Hennessy until I cold hurl
Ten months in this gut, what the fuck
I wish moms'd hurry up so I could get buck
wild, juvenile rippin' mics and shit
New York New York, ready for the likes of this, uh
Then came the worst date, May 21st
2:19, that's when my momma water burst
No spouse in the house so she rode for self
to the hospital, to see if she could get a little help
Umbilical cord's wrapped around my neck
I'm seein' my death and I ain't even took my first step
I made it out, I'm bringin' mad joy
The doctor looked and said, ""He's gonna be a Bad Boy""
Now I'm thirteen, smokin' blunts, makin' cream
On the drug scene, fuck a football team
Riskin' ruptured spleens by the age of sixteen
Hearin' the coach scream at my lifetime dream, I mean
I wanna blow up, stack my dough up
So school I didn't show up, it fucked my flow up
Mom said that I should grow up and check myself
before I wreck myself, disrespect myself
Put the drugs on the shelf? Nah, couldn't see it
Scarface, King of New York, I wanna be it
Rap was secondary, money was necessary
Until I got incarcerated--kinda scary
C74-Mark 8 set me straight
Not able to move behind the great steel gate
Time to contemplate, damn, where did I fail?
All the money I stacked was all the money for bail
Ninety-four, now I explore new horizons
Mama smile when she see me, that's surprisin'
Honeys is tantalizin', they freak all night
Peep duckin' cops on the creep all night
As I open my eyes and realizin' I changed
Not the same deranged child stuck up in the game
And to my niggas livin' street life
Learn to treat life to the best, put stress to rest
Still tote your vest man, niggas be trippin'
In the streets without a gat? Nah, nigga you're slippin'
If I'm pimpin on The F with weed on my breath
Original hustler with the muffler on the Tec
Respect to the Mac's and the Ac's
To the freaks in the Jeeps, lick shots to my peeps"
Can I Get Witcha,"Another day in the ghetto 
One look outside I'm already upset yo
It look about a hundred-and-two 
It's a Saturday and Biggie ain't got nuttin to do
Uhh, I'm intrrupted by a phone ring [brrrrring]
Sometimes I wish I never got the motherfuckin thing
""Hello hello? Can I speak to Biggie?""
Yo who dis? ""Taisha"" Yo call back, I'm busy
Why don'tcha hit me on the box a little later
Washed up, got dressed, hits the elevator
Steps out it's the same old scene 
Dopefiend, crackfiend, eyewitness news team
I seen a honey with a butt lookin butter soft
I know she looks much better with them clothes up off
Sittin all thick, with the ruby red lipstick
That's the one I gotta get with
She said ""If I get witchu 
I gotta get witcha whole hood rat crew
Whatcha I think I do? Sling skins for a livin
My name ain't November, this ain't Thanksgivin
You aint Michael Bivins
Mack it up flip it, rub it down
Do me baby, I ain't down
My name ain't Tupac I don't ""Get Around""
You hittin this nigga, how that sound?""
Huh, first of all you got me mixed up with
Somebody ya done slept with, hold up
That's my Neneh Cherry shit, I got somethin slicker
Let me just sip up on this liquor
All I wanna do is smoke a little chronic
Slam ya like Onyx, and get ya hooked on 
this Biggie Smalls phonics, 102
How to squeeze 22's in them Reeboks shoes, HUH?
I said walk me upstairs, cause I forgot my Phillies
She said ""I don't care, just dont be actin silly""
I knew I had her trapped with my hardcore rap
And it wouldn't take a second 'fore I had her on her back
Foolin with the bra strap, threw on my Silk cd 
cause, ""I wanna get freaky wit'chou""
Lose control on the skins is all I can picture
Now I'm about to hitcha"
Unbelieveable,"Live from Bedford-Stuyverson, the livest one
Representin BK to the fullest
Gats I pull it, bastards duckin when Big be buckin
Chickenheads be cluckin in my bathroom fuckin
It ain't nuttin, they know Big be handlin
With the Mac in the ac door paneling
Damagin' MC's, oxygen they can't breathe
Mad tricks up the sleeve, wear boxers so my dick can breathe
Breeze through in the Q-45 by my side, lyrical high
And those that rushes my cluthes get put on crutches
Get smoked like dutches from the master
Hate to blast ya, but I have ta, you see I smoke a lot
Your life is played out like Kwame, and them fuckin polka dots
Who rock the spot? Biggie!
You know how the weed go, unbelievable
B-I-G, G-I-E, AKA, B.I.G.
Get it? Biggie
Also known as the bon appetit
Rappers can't sleep need sleepin Big keep creepin
Bulelts heat-seekin, casualties need treatin
Dumb rappers need teachin
Lesson A - don't fuck with B-I, that's that, oh I, thought he was wack
Oh come come now, why y'all so dumb now
Hunt me or be hunted, I got three hundred and fifty-seven ways
To summer sautee, I'm the winner all day
Lights get dimmer down Biggie's hallway
My forte causes caucausians to say
He sounds demented, car-weed scented
If I said it, I meant it
Bite my tongue for no-one
Call me evil, or unbelievable
Buck shots out the sun roof of Lexus Coupe's
Leave no witnesses, what you think this is
Ain't no amateurs here, I damage and tear
MC's fear me, they too near not to hear me
Clearly, I'm the triple beam dream
One thousand grams of uncut to the gut
It seems fucked up, the way I touched up the grill
Tryin to play gorilla, when you ain't no killer
The gat's by your liver, your upper lip quiver
Get ready to die, tell God I said hi
And throw down some ice, for the nicest MC
Niggaz know the steelo, unbelievable
"
Hypnotize,"Uh, uh, uh, c'mon
Hah, sicker than your average
Poppa twist cabbage off instinct
Niggas don't think shit stink
Pink gators, my Detroit players
Timbs for my hooligans in Brooklyn
Dead right, if the head right, Biggie there e'ry night
Poppa been smooth since days of Underroos
Never lose, never choose to, bruise crews who
Do something to us, talk go through us
Girls walk to us, wanna do us, screw us
Who us? Yeah, Poppa and Puff
Close like Starsky and Hutch, stick to clutch
Dare I squeeze three at your cherry M-3
(Take that, take that, take that, ha ha!)
Bang every MC easily, busily
Recently niggas fronting ain't saying nothing
So I just speak my piece, keep my peace
Cubans with the Jesus piece, with my peeps
Packing, asking who want it, you got it nigga flaunt it
That Brooklyn bullshit, we on it
I put hoes in NY onto DKNY
Miami, D.C. prefer Versace
All Philly hoes, go with Moschino
Every cutie wit a booty bought a Coogi
Now who's the real dookie, meaning who's really the shit
Them niggas ride dicks, Frank White push the six
Or the Lexus, LX, four and a half
Bulletproof glass, tints if I want some ass
Gonna blast, squeeze first, ask questions last
That's how most of these so-called gangsters pass
At last, a nigga rapping 'bout blunts and broads
Tits and bras, ménage à trois, sex in expensive cars
I still leave you on the pavement
Condo paid for, no car payment
At my arraignment, note for the plaintiff
""Your daughter's tied up in a Brooklyn basement""
Face it, not guilty, that's how I stay filthy
Richer than Richie, 'til you niggas come and get me
I can fill you wit real millionaire shit (I can fill ya)
Escargot, my car go, one sixty, swiftly
Wreck it, buy a new one
Your crew run-run-run, your crew run-run
I know you sick of this, name brand nigga with
Flows, girls say he's sweet like licorice
So get with this nigga, it's easy
Girlfriend, here's a pen, call me round ten
Come through, have sex on rugs that's Persian
Come up to your job, hit you while you workin'
For certain, Poppa freakin', not speakin'
Leave that ass leakin', like rapper demo
Tell them ho, take they clothes off slowly
Hit 'em with the force, like Obi, dick black like Toby
Watch me roam, like Romey
Lucky they don't owe me
Where the safe? Show me, homie!"
Mo Money Mo Problems,"Uhh, uhhh
B.I.G., P-O, P-P-A
No info, for the, DEA
Federal agents mad cause I'm flagrant
Tap my cell, and the phone in the basement
My team supreme, stay clean
Triple beam lyrical dream, I be that
Cat you see at all events bent
Gats in holsters girls on shoulders
Playboy, I told ya, being mice to me
Bruise too much, I lose, too much
Step on stage the girls boo too much
I guess it's cause you run with lame dudes too much
Me lose my touch, never that
If I did, ain't no problem to get the gat
Where the true players at?
Throw your rollies in the sky
Wave em side to side and keep their hands high
While I give your girl the eye, player please
Lyrically, niggas see, B.I.G.
Be flossing jig on the cover of Fortune
Five double oh, here's my phone number
Your name, I got to know, I got to go
Got the flow down phizat, platinum plus
Like thizat, dangerous
On trizack, leave your ass kizzack
I don't know what, they want from me
It's like the more money we come across
The more problems we see"
Ten Crack Commandments,"Uhh, it's the ten crack commandments
What, uhh, uhh
Nigga can't tell me nothin bout this coke, uh-huh
Can't tell me nothin bout this crack, this weed
To my hustlin niggaz
Niggaz on the corner I ain't forget you niggaz
My triple beam niggaz, word up
I been in this game for years, it made me a animal
It's rules to this shit, I wrote me a manual
A step by step booklet for you to get
your game on track, not your wig pushed back
Rule nombre uno: never let no one know
how much, dough you hold, cause you know
The cheddar breed jealousy 'specially
if that man fucked up, get your ass stuck up
Number two: never let em know your next move
Don't you know Bad Boys move in silence or violence
Take it from your highness (uh-huh)
I done squeezed mad clips at these cats for they bricks and chips
Number three: never trust no-bo-dy
Your moms'll set that ass up, properly gassed up
Hoodie to mask up, shit, for that fast buck
she be layin in the bushes to light that ass up
Number four: know you heard this before
Never get high, on your own supply
Number five: never sell no crack where you rest at
I don't care if they want a ounce, tell em bounce
Number six: that god damn credit, dead it
You think a crackhead payin you back, shit forget it
Seven: this rule is so underrated
Keep your family and business completely seperated
Money and blood don't mix like two dicks and no bitch
Find yourself in serious shit
Number eight: never keep no weight on you
Them cats that squeeze your guns can hold jobs too
Number nine shoulda been number one to me
If you ain't gettin bags stay the fuck from police (uh-huh)
If niggaz think you snitchin ain't tryin listen
They be sittin in your kitchen, waitin to start hittin
Number ten: a strong word called consignment
Strictly for live men, not for freshmen
If you ain't got the clientele say hell no
Cause they gon want they money rain sleet hail snow
Follow these rules you'll have mad bread to break up
If not, twenty-four years, on the wake up
Slug hit your temple, watch your frame shake up
Caretaker did your makeup, when you pass
Your girl fucked my man Jake up, heard in three weeks
she sniffed a whole half of cake up
Heard she suck a good dick, and can hook a steak up
Gotta go gotta go, more pasta bake up, word up, uhh
Crack king, Frank Blizzard
Uhh"
